campaign_id,source_file,source_sha256,source_ordinal,line_number,schema,concurrency,rounds,requests,completed,start_us,end_us,duration_us,throughput_milli_rps,goodput_milli_rps,avg_milli_us,p50_us,p90_us,p99_us,wait_avg_milli_us,wait_p50_us,wait_p90_us,wait_p99_us,service_avg_milli_us,service_p50_us,service_p90_us,service_p99_us,fairness_jain_ppm,max_min_fairness_ppm,isolated,correct,contamination,fallback,workload_digest,result_fingerprint,status
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,519,2,1,16,16,16,10923063,10928476,5413,2955847,2955847,209875,192,303,320,116437,106,154,213,93437,88,107,149,1000000,1000000,16,16,0,0,158a51c8e9fc15df,cd4c5f475203735d,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,552,2,2,16,32,32,10945830,10958084,12254,2611392,2611392,407437,372,757,1132,291906,284,622,1038,115531,94,125,494,1000000,1000000,32,32,0,0,4d0296d16b701d0a,bfbc8eff0799b392,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,617,2,4,16,64,64,10988374,11009164,20790,3078403,3078403,611953,545,1015,1362,513015,452,926,1270,98937,86,108,431,1000000,1000000,64,64,0,0,c5ffde39c7278867,39296f3637daeb2f,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-02-boot-01.txt,017482ca44af16d070c3c32dc49a1ce983afbc98a1ef98f2210298e468d02604,8,519,2,1,16,16,16,10989801,10996029,6228,2569043,2569043,233625,196,449,481,122187,102,139,382,111437,89,144,349,1000000,1000000,16,16,0,0,19ff15da309333be,ca9a8a0e200c73a1,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-02-boot-01.txt,017482ca44af16d070c3c32dc49a1ce983afbc98a1ef98f2210298e468d02604,8,552,2,2,16,32,32,11014162,11025565,11403,2806279,2806279,390156,410,521,1181,296906,327,435,1091,93250,91,111,118,1000000,1000000,32,32,0,0,03bf9ca09ed9cc28,9cdf5d35c0b48cba,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-02-boot-01.txt,017482ca44af16d070c3c32dc49a1ce983afbc98a1ef98f2210298e468d02604,8,617,2,4,16,64,64,11056204,11075375,19171,3338375,3338375,548656,510,950,1453,457093,430,847,1360,91562,84,109,448,1000000,1000000,64,64,0,0,5bc822ee9f709c04,2727201c34e70aac,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-04-boot-01.txt,d2918a32153c26724d68b8d5455369bd405dfcac7926791fd3b41bf336378c4b,9,519,2,1,16,16,16,11151161,11156921,5760,2777777,2777777,219562,197,299,309,118750,99,183,214,100812,93,132,206,1000000,1000000,16,16,0,0,7e9a02d64ab6e59b,08c8daad5107d86d,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-04-boot-01.txt,d2918a32153c26724d68b8d5455369bd405dfcac7926791fd3b41bf336378c4b,9,552,2,2,16,32,32,11175385,11186083,10698,2991213,2991213,380625,392,612,1155,282468,309,523,1054,98156,84,121,297,1000000,1000000,32,32,0,0,e630146f4dec38bd,8619f27a4c0cd9a8,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-04-boot-01.txt,d2918a32153c26724d68b8d5455369bd405dfcac7926791fd3b41bf336378c4b,9,617,2,4,16,64,64,11214700,11233766,19066,3356760,3356760,566109,520,1042,1270,475593,441,958,1194,90515,84,112,259,1000000,1000000,64,64,0,0,fb4de51b5ce999ee,8209113bb89a850f,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-08-boot-01.txt,8281fb57314301c727e4fb420e9b6b99c2eecd565a90902234bbf25b317dcc5b,10,519,2,1,16,16,16,10954732,10961066,6334,2526049,2526049,262625,190,340,930,160562,103,212,787,102062,86,143,218,1000000,1000000,16,16,0,0,8ab2c698134561f7,408c65c8c0761254,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-08-boot-01.txt,8281fb57314301c727e4fb420e9b6b99c2eecd565a90902234bbf25b317dcc5b,10,552,2,2,16,32,32,10977729,10988657,10928,2928257,2928257,355687,351,480,1024,260968,266,394,937,94718,86,119,171,1000000,1000000,32,32,0,0,a937731786ef4f6c,d18e43e79d6b8a10,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-08-boot-01.txt,8281fb57314301c727e4fb420e9b6b99c2eecd565a90902234bbf25b317dcc5b,10,617,2,4,16,64,64,11018777,11040144,21367,2995273,2995273,654000,643,1132,1647,559000,551,1048,1564,95000,86,107,279,1000000,1000000,64,64,0,0,087abfcb8ffef3c0,960ce5838b7f9c93,measured
