campaign_id,source_file,source_sha256,source_ordinal,experiment,load,dataset_size,operations,pair,order,baseline_variant,treatment_variant,baseline_cache,treatment_cache,baseline_duration_us,treatment_duration_us,treatment_minus_baseline_us,speedup_baseline_over_treatment,baseline_us_per_operation,treatment_us_per_operation,baseline_work_units,treatment_work_units,baseline_records_examined,treatment_records_examined,baseline_result_items,treatment_result_items,result_fingerprint_equal,workload_fingerprint_equal,result_fingerprint,workload_fingerprint
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,1,AB,syscall,direct,warm,warm,4577,4607,30,0.99348817,190.708333333,191.958333333,24,24,0,0,24,24,1,1,480588b4e2fe6ffb,01ada8b2a4b3718b
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,10,BA,syscall,direct,warm,warm,4126,4712,586,0.875636672,171.916666667,196.333333333,24,24,0,0,24,24,1,1,238d7c51d9c5dd40,dd76dfb888cae774
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,11,AB,syscall,direct,warm,warm,4848,4644,-204,1.043927649,202.0,193.5,24,24,0,0,24,24,1,1,6664ad0536546281,f10111727afcdbc1
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,12,BA,syscall,direct,warm,warm,5117,4333,-784,1.180936995,213.208333333,180.541666667,24,24,0,0,24,24,1,1,662bda47ccf3c696,5bd9a7c14cb96d3a
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,13,AB,syscall,direct,warm,warm,4397,4764,367,0.922963896,183.208333333,198.5,24,24,0,0,24,24,1,1,cb0f4ce68c74de97,84ddba8dc5e198d7
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,14,BA,syscall,direct,warm,warm,4288,5326,1038,0.805107022,178.666666667,221.916666667,24,24,0,0,24,24,1,1,8f271160eacd2f34,7a6bf8d263c223c8
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,15,AB,syscall,direct,warm,warm,4648,4891,243,0.950316909,193.666666667,203.791666667,24,24,0,0,24,24,1,1,707034ad39361185,02d25f47445b6685
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,2,BA,syscall,direct,warm,warm,4424,4662,238,0.948948949,184.333333333,194.25,24,24,0,0,24,24,1,1,c9c8c3418d84f1a8,5d2815f5425ff2dc
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,3,AB,syscall,direct,warm,warm,4326,5530,1204,0.782278481,180.25,230.416666667,24,24,0,0,24,24,1,1,1f5af9f129fae7b9,628cbae5d5894e09
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,context_access,24,0,24,4,BA,syscall,direct,warm,warm,4418,4610,192,0.95835141,184.083333333,192.083333333,24,24,0,0,24,24,1,1,3c596e65ea81cb1e,caa0a1f8608f3a62
