campaign_id,source_file,source_sha256,source_ordinal,csv_line,sample_id,order,traversal_core_duration_us,traversal_end_to_end_duration_us,traversal_workload_syscalls,traversal_records_examined,traversal_bytes_read,traversal_directory_block_probes,traversal_directory_entries_examined,traversal_physical_reads,traversal_physical_writes,traversal_durable_flushes,traversal_virtio_notifications,traversal_virtio_submitted_requests,traversal_virtio_batched_read_requests,traversal_overwrite_prereads_skipped,indexed_core_duration_us,indexed_end_to_end_duration_us,indexed_workload_syscalls,indexed_records_examined,indexed_bytes_read,indexed_directory_block_probes,indexed_directory_entries_examined,indexed_physical_reads,indexed_physical_writes,indexed_durable_flushes,indexed_virtio_notifications,indexed_virtio_submitted_requests,indexed_virtio_batched_read_requests,indexed_overwrite_prereads_skipped,indexed_minus_traversal_core_us,traversal_over_indexed_core_ratio
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,2,1,traversal_then_indexed,34971,703561,298,97,7811,3266,196802,150,211,47,254,408,0,97,6490,724643,10,2,0,3266,196802,58,227,48,165,333,0,82,-28481,5.388
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,3,2,indexed_then_traversal,39215,701619,298,97,7811,3266,196802,138,213,47,242,398,0,82,7783,714027,10,2,0,3266,196802,64,225,48,171,337,0,97,-31432,5.039
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,4,3,traversal_then_indexed,36925,708617,298,97,7811,3266,196802,149,211,47,253,407,0,97,5827,723213,10,2,0,3266,196802,58,227,48,165,333,0,82,-31098,6.337
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,5,4,indexed_then_traversal,30814,701442,298,97,7811,3266,196802,138,213,47,242,398,0,82,29075,737055,10,2,0,3266,196802,59,225,48,166,332,0,97,-1739,1.06
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,6,5,traversal_then_indexed,36508,713031,298,97,7811,3266,196802,150,211,47,254,408,0,97,6551,712920,10,2,0,3266,196802,58,226,48,164,332,0,82,-29957,5.573
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,7,6,indexed_then_traversal,32496,701948,298,97,7811,3266,196802,138,213,47,242,398,0,82,20071,733122,10,2,0,3266,196802,58,224,48,164,330,0,97,-12425,1.619
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,8,7,traversal_then_indexed,34383,712345,298,97,7811,3266,196802,150,211,47,254,408,0,97,6528,711334,10,2,0,3266,196802,58,227,48,165,333,0,82,-27855,5.267
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,9,8,indexed_then_traversal,49941,735494,298,97,7811,3266,196802,138,213,47,242,398,0,82,29020,735605,10,2,0,3266,196802,66,225,48,173,339,0,97,-20921,1.721
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,10,9,traversal_then_indexed,32954,720503,298,97,7811,3266,196802,151,214,49,258,414,0,97,18804,712328,10,2,0,3266,196802,53,226,48,160,327,0,82,-14150,1.752
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,10,indexed_then_traversal,34454,713812,298,97,7811,3266,196802,138,213,47,242,398,0,82,28882,734515,10,2,0,3266,196802,62,225,48,169,335,0,97,-5572,1.193
