campaign_id,source_file,source_sha256,source_ordinal,csv_line,sample_id,order,path,execution_position,core_duration_us,end_to_end_duration_us,workload_syscalls,records_examined,bytes_read,directory_block_probes,directory_entries_examined,physical_reads,physical_writes,durable_flushes,virtio_notifications,virtio_submitted_requests,virtio_batched_read_requests,overwrite_prereads_skipped
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,2,1,traversal_then_indexed,traversal,1,34971,703561,298,97,7811,3266,196802,150,211,47,254,408,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,2,1,traversal_then_indexed,indexed,2,6490,724643,10,2,0,3266,196802,58,227,48,165,333,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,3,2,indexed_then_traversal,traversal,2,39215,701619,298,97,7811,3266,196802,138,213,47,242,398,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,3,2,indexed_then_traversal,indexed,1,7783,714027,10,2,0,3266,196802,64,225,48,171,337,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,4,3,traversal_then_indexed,traversal,1,36925,708617,298,97,7811,3266,196802,149,211,47,253,407,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,4,3,traversal_then_indexed,indexed,2,5827,723213,10,2,0,3266,196802,58,227,48,165,333,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,5,4,indexed_then_traversal,traversal,2,30814,701442,298,97,7811,3266,196802,138,213,47,242,398,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,5,4,indexed_then_traversal,indexed,1,29075,737055,10,2,0,3266,196802,59,225,48,166,332,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,6,5,traversal_then_indexed,traversal,1,36508,713031,298,97,7811,3266,196802,150,211,47,254,408,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,6,5,traversal_then_indexed,indexed,2,6551,712920,10,2,0,3266,196802,58,226,48,164,332,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,7,6,indexed_then_traversal,traversal,2,32496,701948,298,97,7811,3266,196802,138,213,47,242,398,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,7,6,indexed_then_traversal,indexed,1,20071,733122,10,2,0,3266,196802,58,224,48,164,330,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,8,7,traversal_then_indexed,traversal,1,34383,712345,298,97,7811,3266,196802,150,211,47,254,408,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,8,7,traversal_then_indexed,indexed,2,6528,711334,10,2,0,3266,196802,58,227,48,165,333,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,9,8,indexed_then_traversal,traversal,2,49941,735494,298,97,7811,3266,196802,138,213,47,242,398,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,9,8,indexed_then_traversal,indexed,1,29020,735605,10,2,0,3266,196802,66,225,48,173,339,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,10,9,traversal_then_indexed,traversal,1,32954,720503,298,97,7811,3266,196802,151,214,49,258,414,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,10,9,traversal_then_indexed,indexed,2,18804,712328,10,2,0,3266,196802,53,226,48,160,327,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,10,indexed_then_traversal,traversal,2,34454,713812,298,97,7811,3266,196802,138,213,47,242,398,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,10,indexed_then_traversal,indexed,1,28882,734515,10,2,0,3266,196802,62,225,48,169,335,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,11,traversal_then_indexed,traversal,1,31142,703928,298,97,7811,3266,196802,150,211,47,254,408,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,11,traversal_then_indexed,indexed,2,5180,706034,10,2,0,3266,196802,53,227,48,160,328,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,12,indexed_then_traversal,traversal,2,36145,712357,298,97,7811,3266,196802,138,213,47,242,398,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,12,indexed_then_traversal,indexed,1,29143,734079,10,2,0,3266,196802,66,225,48,173,339,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,14,13,traversal_then_indexed,traversal,1,35983,712116,298,97,7811,3266,196802,150,211,47,254,408,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,14,13,traversal_then_indexed,indexed,2,6223,721674,10,2,0,3266,196802,58,226,48,164,332,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,15,14,indexed_then_traversal,traversal,2,37345,713014,298,97,7811,3266,196802,138,213,47,242,398,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,15,14,indexed_then_traversal,indexed,1,29005,741782,10,2,0,3266,196802,59,225,48,166,332,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,16,15,traversal_then_indexed,traversal,1,33326,702990,298,97,7811,3266,196802,150,211,47,254,408,0,97
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,16,15,traversal_then_indexed,indexed,2,18819,703614,10,2,0,3266,196802,53,227,48,160,328,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,17,16,indexed_then_traversal,traversal,2,34309,710451,298,97,7811,3266,196802,138,213,47,242,398,0,82
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,17,16,indexed_then_traversal,indexed,1,7685,724947,10,2,0,3266,196802,59,224,48,166,331,0,97
