campaign_id,source_file,source_sha256,source_ordinal,line_number,scenario,requested,admitted,rejected,no_space,retry,other,waves,concurrency_cap,bootstrap_samples,fresh_samples,initial_fresh_attempts,ordinary_progress
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,71,1,1,1,0,0,0,0,1,4,1,0,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,80,2,2,2,0,0,0,0,1,4,1,1,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,94,3,3,3,0,0,0,0,1,4,1,2,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,161,16,16,16,12,12,0,0,4,4,4,12,15,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,180,4,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,199,44,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,71,1,1,1,0,0,0,0,1,4,1,0,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,80,2,2,2,0,0,0,0,1,4,1,1,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,94,3,3,3,0,0,0,0,1,4,1,2,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,161,16,16,16,12,12,0,0,4,4,4,12,15,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,180,4,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,199,44,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,71,1,1,1,0,0,0,0,1,4,1,0,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,80,2,2,2,0,0,0,0,1,4,1,1,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,94,3,3,3,0,0,0,0,1,4,1,2,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,161,16,16,16,12,12,0,0,4,4,4,12,15,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,180,4,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,199,44,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,71,1,1,1,0,0,0,0,1,4,1,0,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,80,2,2,2,0,0,0,0,1,4,1,1,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,94,3,3,3,0,0,0,0,1,4,1,2,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,161,16,16,16,12,12,0,0,4,4,4,12,15,0
