campaign_id,source_file,source_sha256,source_ordinal,line_number,scenario,index,source,threads,wake_probes,mode,flags,latency_class,weight,request_ticks,lifecycle,work,service,dispatch,fallback,deadline_miss,wake_samples,wake_max,wake_bucket_0,wake_bucket_1,wake_bucket_2,wake_bucket_3,serial_record_complete,serial_fragmented_line,serial_segment_index,serial_segment_count
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,70,1,0,bootstrap,1,0,1,7,3,1024,8,1:1,31168,1235093,3898,0,0,0,0,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,74,2,0,bootstrap,1,0,1,7,3,1024,8,1:1,12224,571841,1535,0,0,0,0,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,79,2,1,fresh,1,4,1,7,2,1024,4,2:1,13176,573153,1662,0,4,4,0,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,83,3,0,bootstrap,1,0,1,7,3,1024,8,1:1,9088,362131,1138,0,0,0,1,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,91,3,2,fresh,1,4,1,7,2,1024,4,3:1,9024,362506,1144,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,93,3,1,fresh,1,4,1,7,2,1024,4,2:2,9160,362660,1166,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,97,16,0,bootstrap,1,0,1,7,3,1024,8,1:1,6016,266041,756,0,0,0,1,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,110,16,3,fresh,1,4,1,7,2,1024,4,4:1,6760,267835,865,0,4,4,3,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,111,16,2,fresh,1,4,1,7,2,1024,4,3:2,6976,267416,892,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,112,16,1,fresh,1,4,1,7,2,1024,4,2:3,6128,269688,786,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,113,16,4,bootstrap,1,0,1,7,3,1024,8,1:1,6144,270469,771,0,0,0,2,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,126,16,5,fresh,1,4,1,7,2,1024,4,2:4,6640,274306,847,0,4,4,0,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,127,16,7,fresh,1,4,1,7,2,1024,4,4:2,6968,274421,888,0,4,4,3,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,128,16,6,fresh,1,4,1,7,2,1024,4,3:3,6056,278449,775,0,4,4,2,4,0,0,0,1,,,
