campaign_id,source_file,source_sha256,source_ordinal,line_number,path,operations,syscalls,abi_descriptor_bytes,copied_descriptor_bytes,dispatch_header_bytes,control_abi_bytes,control_copied_bytes,service_start_interval_tick_p50,service_start_interval_tick_p99,service_start_span_ticks,sequence_elapsed_ticks,sched_dispatch_delta
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,72,batch,16,1,3584,3584,0,0,0,0,0,0,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,91,scalar_v3,16,16,12288,12288,128,0,0,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,110,sq_cq,16,2,4096,4096,0,336,544,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,129,scalar_v3,16,16,12288,12288,128,0,0,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,148,sq_cq,16,2,4096,4096,0,336,544,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,167,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,186,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,205,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,224,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,243,batch,16,1,3584,3584,0,0,0,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,262,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,281,sq_cq,16,2,4096,4096,0,336,544,0,0,0,1,0
