campaign_id,source_file,source_sha256,source_ordinal,line_number,schema,boot_round,order,path,operations,syscalls,start_us,end_us,duration_us,service_start_span_ticks,sequence_elapsed_ticks,sched_dispatch_delta,status
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,73,1,1,0,batch,16,1,6254307,6260311,6004,0,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,92,1,1,1,scalar_v3,16,16,6298739,6305211,6472,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,111,1,1,2,sq_cq,16,2,6323653,6330917,7264,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,130,1,2,0,scalar_v3,16,16,6348453,6350521,2068,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,149,1,2,1,sq_cq,16,2,6369408,6370971,1563,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,168,1,2,2,batch,16,1,6387358,6387896,538,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,187,1,3,0,sq_cq,16,2,6404247,6406002,1755,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,206,1,3,1,batch,16,1,6423288,6423828,540,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,225,1,3,2,scalar_v3,16,16,6440471,6443347,2876,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,244,1,4,0,batch,16,1,6459881,6460528,647,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,263,1,4,1,scalar_v3,16,16,6477548,6479550,2002,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,282,1,4,2,sq_cq,16,2,6498312,6500154,1842,0,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,301,1,5,0,scalar_v3,16,16,6517354,6519515,2161,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,320,1,5,1,sq_cq,16,2,6536365,6537889,1524,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,339,1,5,2,batch,16,1,6552887,6553423,536,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,358,1,6,0,sq_cq,16,2,6570341,6571748,1407,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,377,1,6,1,batch,16,1,6588634,6589279,645,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,396,1,6,2,scalar_v3,16,16,6605780,6607479,1699,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,415,1,7,0,batch,16,1,6624240,6624772,532,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,434,1,7,1,scalar_v3,16,16,6640422,6642456,2034,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,453,1,7,2,sq_cq,16,2,6660828,6662643,1815,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,472,1,8,0,scalar_v3,16,16,6679289,6681165,1876,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,491,1,8,1,sq_cq,16,2,6699183,6700692,1509,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-01.txt,8d51078131491d3531d5e3b52993a70476a44b0119e9f5a1d242b5cbb89d9403,11,510,1,8,2,batch,16,1,6717009,6717556,547,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,73,1,1,0,batch,16,1,6159914,6165404,5490,1,1,8,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,92,1,1,1,scalar_v3,16,16,6205116,6210931,5815,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,111,1,1,2,sq_cq,16,2,6229302,6236234,6932,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,130,1,2,0,scalar_v3,16,16,6254744,6256876,2132,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,149,1,2,1,sq_cq,16,2,6276152,6277772,1620,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,168,1,2,2,batch,16,1,6294531,6295172,641,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,187,1,3,0,sq_cq,16,2,6311339,6312960,1621,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,206,1,3,1,batch,16,1,6329730,6330274,544,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,225,1,3,2,scalar_v3,16,16,6346575,6348552,1977,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,244,1,4,0,batch,16,1,6363988,6364565,577,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,263,1,4,1,scalar_v3,16,16,6383310,6385490,2180,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,282,1,4,2,sq_cq,16,2,6403138,6404636,1498,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,301,1,5,0,scalar_v3,16,16,6422960,6424720,1760,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,320,1,5,1,sq_cq,16,2,6441545,6443221,1676,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,339,1,5,2,batch,16,1,6459819,6460345,526,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,358,1,6,0,sq_cq,16,2,6477331,6479407,2076,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,377,1,6,1,batch,16,1,6498474,6499023,549,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,396,1,6,2,scalar_v3,16,16,6517808,6519646,1838,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,415,1,7,0,batch,16,1,6536051,6536579,528,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,434,1,7,1,scalar_v3,16,16,6553395,6555770,2375,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,453,1,7,2,sq_cq,16,2,6573593,6575037,1444,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,472,1,8,0,scalar_v3,16,16,6593477,6595552,2075,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,491,1,8,1,sq_cq,16,2,6613374,6615113,1739,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,510,1,8,2,batch,16,1,6631291,6632020,729,0,0,0,measured
