sample_id,order,traversal_core_duration_us,traversal_end_to_end_duration_us,traversal_workload_syscalls,traversal_records_examined,traversal_bytes_read,traversal_directory_block_probes,traversal_directory_entries_examined,traversal_physical_reads,traversal_physical_writes,traversal_durable_flushes,traversal_virtio_notifications,traversal_virtio_submitted_requests,traversal_virtio_batched_read_requests,traversal_overwrite_prereads_skipped,indexed_core_duration_us,indexed_end_to_end_duration_us,indexed_workload_syscalls,indexed_records_examined,indexed_bytes_read,indexed_directory_block_probes,indexed_directory_entries_examined,indexed_physical_reads,indexed_physical_writes,indexed_durable_flushes,indexed_virtio_notifications,indexed_virtio_submitted_requests,indexed_virtio_batched_read_requests,indexed_overwrite_prereads_skipped,indexed_minus_traversal_core_us,indexed_minus_traversal_end_to_end_us,traversal_over_indexed_core_ratio,catalog_expected_discovery_queries,catalog_discovery_query_count,catalog_validation_query_count,catalog_total_query_count,catalog_build_count,catalog_batch_calls,catalog_registered_items,catalog_reuse_hits,catalog_cold_build_us,catalog_aggregate_query_us,catalog_warm_query_us
1,traversal_then_indexed,116793,786688,1162,385,49773,3554,197090,497,211,47,601,755,0,97,29249,676316,13,5,0,3266,196802,58,223,47,163,328,0,92,-87544,-110372,3.993,4,4,1,5,1,6,96,4,10831,3519,581
2,indexed_then_traversal,109711,785048,1162,385,49773,3554,197090,477,213,47,581,737,0,91,7275,707794,13,5,0,3266,196802,65,223,48,172,336,0,97,-102436,-77254,15.081,4,4,1,5,1,6,96,4,85492,3630,449
3,traversal_then_indexed,105204,775395,1162,385,49773,3554,197090,497,211,47,601,755,0,97,19242,689883,13,5,0,3266,196802,58,223,47,163,328,0,92,-85962,-85512,5.467,4,4,1,5,1,6,96,4,10077,3579,522
4,indexed_then_traversal,112410,779757,1162,385,49773,3554,197090,476,213,47,580,736,0,91,19913,694793,13,5,0,3266,196802,67,221,47,172,335,0,97,-92497,-84964,5.645,4,4,1,5,1,6,96,4,9375,2914,487
5,traversal_then_indexed,104929,768982,1162,385,49773,3554,197090,497,211,47,601,755,0,97,7171,694515,13,5,0,3266,196802,58,223,47,163,328,0,92,-97758,-74467,14.632,4,4,1,5,1,6,96,4,10972,4693,508
6,indexed_then_traversal,123297,781643,1162,385,49773,3554,197090,476,213,47,580,736,0,91,29675,734534,13,5,0,3266,196802,73,225,48,180,346,0,97,-93622,-47109,4.155,4,4,1,5,1,6,96,4,73030,3304,530
7,traversal_then_indexed,122645,784658,1162,385,49773,3554,197090,497,211,47,601,755,0,97,7679,684291,13,5,0,3266,196802,58,223,47,163,328,0,92,-114966,-100367,15.971,4,4,1,5,1,6,96,4,11371,4216,524
8,indexed_then_traversal,130619,793180,1162,385,49773,3554,197090,476,213,47,580,736,0,91,20084,704618,13,5,0,3266,196802,67,221,47,172,335,0,97,-110535,-88562,6.504,4,4,1,5,1,6,96,4,9720,2812,460
9,traversal_then_indexed,119767,786679,1162,385,49773,3554,197090,497,211,47,601,755,0,97,5522,686257,13,5,0,3266,196802,58,223,47,163,328,0,92,-114245,-100422,21.689,4,4,1,5,1,6,96,4,9680,3020,540
10,indexed_then_traversal,125983,795412,1162,385,49773,3554,197090,476,213,47,580,736,0,91,20307,698364,13,5,0,3266,196802,67,221,47,172,335,0,97,-105676,-97048,6.204,4,4,1,5,1,6,96,4,9572,3375,547
11,traversal_then_indexed,148926,815983,1162,385,49773,3554,197090,497,211,47,601,755,0,97,6369,694909,13,5,0,3266,196802,60,226,48,167,334,0,92,-142557,-121074,23.383,4,4,1,5,1,6,96,4,94742,3678,464
12,indexed_then_traversal,118247,791279,1162,385,49773,3554,197090,476,213,47,580,736,0,91,20437,697249,13,5,0,3266,196802,67,221,47,172,335,0,97,-97810,-94030,5.786,4,4,1,5,1,6,96,4,12382,2966,472
13,traversal_then_indexed,116978,785619,1162,385,49773,3554,197090,497,211,47,601,755,0,97,6599,705026,13,5,0,3266,196802,60,226,48,167,334,0,92,-110379,-80593,17.727,4,4,1,5,1,6,96,4,93491,3604,616
14,indexed_then_traversal,126181,806467,1162,385,49773,3554,197090,477,213,47,581,737,0,91,20522,715466,13,5,0,3266,196802,65,224,48,172,337,0,97,-105659,-91001,6.149,4,4,1,5,1,6,96,4,79311,3821,685
15,traversal_then_indexed,130553,801369,1162,385,49773,3554,197090,497,211,47,601,755,0,97,13598,723723,13,5,0,3266,196802,78,226,48,184,352,0,92,-116955,-77646,9.601,4,4,1,5,1,6,96,4,81347,3471,498
16,indexed_then_traversal,177465,850369,1162,385,49773,3554,197090,476,213,47,580,736,0,91,19757,700245,13,5,0,3266,196802,67,221,47,172,335,0,97,-157708,-150124,8.982,4,4,1,5,1,6,96,4,10622,3453,493
